,year,wtem,wpre,country,g,region,regyear,dummy_gdp,dev,parent
Albania-1981,1981,12.78579998,12.27425003,Albania,3.596023864,EECA,EECA 1981,0,dev,AL
Albania-1982,1982,13.23007679,10.46518421,Albania,0.997109795,EECA,EECA 1982,0,dev,AL
Albania-1983,1983,12.51611805,10.17477036,Albania,-0.82844258,EECA,EECA 1983,0,dev,AL
Albania-1984,1984,12.67379379,10.93935871,Albania,-3.33338801,EECA,EECA 1984,0,dev,AL
Albania-1985,1985,12.94535065,12.40441895,Albania,-0.508635165,EECA,EECA 1985,0,dev,AL
Albania-1986,1986,13.13859653,9.973684311,Albania,2.939297517,EECA,EECA 1986,0,dev,AL
Albania-1987,1987,13.02187538,10.95752621,Albania,-3.487771238,EECA,EECA 1987,0,dev,AL
Albania-1988,1988,13.10743427,10.64715672,Albania,-3.935331067,EECA,EECA 1988,0,dev,AL
Albania-1989,1989,12.81764221,9.455904961,Albania,7.495147621,EECA,EECA 1989,0,dev,AL
Albania-1990,1990,13.47816849,10.41875267,Albania,-11.07394324,EECA,EECA 1990,0,dev,AL
Albania-1991,1991,12.62912273,11.33518124,Albania,-32.1624284,EECA,EECA 1991,0,dev,AL
Albania-1992,1992,13.39619541,9.268590927,Albania,-6.666254887,EECA,EECA 1992,0,dev,AL
Albania-1993,1993,13.30528545,9.702300072,Albania,10.52420536,EECA,EECA 1993,0,dev,AL
Albania-1994,1994,14.39411163,10.31361961,Albania,10.46246623,EECA,EECA 1994,0,dev,AL
Albania-1995,1995,13.0136404,11.9106102,Albania,9.786512115,EECA,EECA 1995,0,dev,AL
Albania-1996,1996,12.88859653,12.12788296,Albania,9.650634471,EECA,EECA 1996,0,dev,AL
Albania-1997,1997,12.94641495,7.994244576,Albania,-10.07812083,EECA,EECA 1997,0,dev,AL
Albania-1998,1998,13.35025215,9.990517616,Albania,12.37742177,EECA,EECA 1998,0,dev,AL
Albania-1999,1999,13.9987278,12.09588337,Albania,9.834543863,EECA,EECA 1999,0,dev,AL
Albania-2000,2000,14.18946266,9.659666061,Albania,7.091814341,EECA,EECA 2000,0,dev,AL
Albania-2001,2001,13.91646957,10.62543011,Albania,6.616005016,EECA,EECA 2001,0,dev,AL
Albania-2002,2002,13.85600853,11.41749859,Albania,2.49100162,EECA,EECA 2002,0,dev,AL
Albania-2003,2003,14.31934166,11.57956696,Albania,5.023782205,EECA,EECA 2003,0,dev,AL
Algeria-1961,1961,17.21853828,3.944605827,Algeria,-16.51985436,MENA,MENA 1961,0,dev,AG
Algeria-1962,1962,16.64972115,6.195106506,Algeria,-23.75077152,MENA,MENA 1962,0,dev,AG
Algeria-1963,1963,16.65273094,5.951767445,Algeria,27.6360264,MENA,MENA 1963,0,dev,AG
Algeria-1964,1964,16.78935623,5.193435192,Algeria,3.646594598,MENA,MENA 1964,0,dev,AG
Algeria-1965,1965,16.66987228,5.002650738,Algeria,3.747652048,MENA,MENA 1965,0,dev,AG
Algeria-1966,1966,16.7145195,4.113543034,Algeria,-7.465291782,MENA,MENA 1966,0,dev,AG
Algeria-1967,1967,16.65981293,5.604917049,Algeria,6.268248249,MENA,MENA 1967,0,dev,AG
Algeria-1968,1968,16.76997375,4.631793499,Algeria,7.329956218,MENA,MENA 1968,0,dev,AG
Algeria-1969,1969,16.27569008,7.213015556,Algeria,5.102423962,MENA,MENA 1969,0,dev,AG
Algeria-1970,1970,16.47507477,4.725626945,Algeria,5.484139456,MENA,MENA 1970,0,dev,AG
Algeria-1971,1971,16.03186989,5.52642107,Algeria,-15.03433818,MENA,MENA 1971,0,dev,AG
Algeria-1972,1972,15.8034687,6.756998062,Algeria,21.21203824,MENA,MENA 1972,0,dev,AG
Algeria-1973,1973,16.19135284,6.586332321,Algeria,0.695417154,MENA,MENA 1973,0,dev,AG
Algeria-1974,1974,16.10271835,5.115623474,Algeria,4.141270681,MENA,MENA 1974,0,dev,AG
Algeria-1975,1975,15.82395363,5.225750446,Algeria,1.789189544,MENA,MENA 1975,0,dev,AG
Algeria-1976,1976,15.55930805,6.429033756,Algeria,4.88825808,MENA,MENA 1976,0,dev,AG
Algeria-1977,1977,16.62985229,3.886518002,Algeria,1.941041707,MENA,MENA 1977,0,dev,AG
Algeria-1978,1978,15.96466637,4.835542679,Algeria,5.606051865,MENA,MENA 1978,0,dev,AG
Algeria-1979,1979,16.29467392,6.083089828,Algeria,3.969693029,MENA,MENA 1979,0,dev,AG
Algeria-1980,1980,15.9555006,5.481774807,Algeria,-2.485612368,MENA,MENA 1980,0,dev,AG
Algeria-1981,1981,16.76553535,3.764250755,Algeria,-0.34479238,MENA,MENA 1981,0,dev,AG
Algeria-1982,1982,16.77589798,6.386005878,Algeria,2.898879938,MENA,MENA 1982,0,dev,AG
Algeria-1983,1983,16.9978981,3.033365488,Algeria,1.993859548,MENA,MENA 1983,0,dev,AG
Algeria-1984,1984,16.00640869,6.415973663,Algeria,2.272870445,MENA,MENA 1984,0,dev,AG
Algeria-1985,1985,16.90613937,4.545763969,Algeria,0.579372081,MENA,MENA 1985,0,dev,AG
Algeria-1986,1986,16.65314293,5.837986946,Algeria,-2.518197884,MENA,MENA 1986,0,dev,AG
Algeria-1987,1987,17.44146919,4.318287849,Algeria,-3.491463147,MENA,MENA 1987,0,dev,AG
Algeria-1988,1988,17.25228119,4.484430313,Algeria,-3.683238922,MENA,MENA 1988,0,dev,AG
Algeria-1989,1989,17.42439461,3.423774242,Algeria,1.713384414,MENA,MENA 1989,0,dev,AG
Algeria-1990,1990,17.41868591,4.866037369,Algeria,-1.72381287,MENA,MENA 1990,0,dev,AG
Algeria-1991,1991,16.19203186,4.671809673,Algeria,-3.669183956,MENA,MENA 1991,0,dev,AG
Algeria-1992,1992,16.20729446,5.613299847,Algeria,-0.60533109,MENA,MENA 1992,0,dev,AG
Algeria-1993,1993,16.70077705,3.923604965,Algeria,-4.396655476,MENA,MENA 1993,0,dev,AG
Algeria-1994,1994,17.74848557,4.027320385,Algeria,-3.009646808,MENA,MENA 1994,0,dev,AG
Algeria-1995,1995,17.25937462,4.487569809,Algeria,1.82135397,MENA,MENA 1995,0,dev,AG
Algeria-1996,1996,16.75742722,5.360111237,Algeria,2.315533294,MENA,MENA 1996,0,dev,AG
Algeria-1997,1997,17.71145058,4.8446455,Algeria,-0.436099688,MENA,MENA 1997,0,dev,AG
Algeria-1998,1998,17.06923294,4.487016678,Algeria,3.553742216,MENA,MENA 1998,0,dev,AG
Algeria-1999,1999,17.78161621,5.200363636,Algeria,1.757080739,MENA,MENA 1999,0,dev,AG
Algeria-2000,2000,17.64489746,3.276414871,Algeria,0.753298676,MENA,MENA 2000,0,dev,AG
Algeria-2001,2001,18.1310997,3.967775106,Algeria,1.096953202,MENA,MENA 2001,0,dev,AG
Algeria-2002,2002,17.66526222,4.595218658,Algeria,3.089026614,MENA,MENA 2002,0,dev,AG
Algeria-2003,2003,18.06364822,5.848917484,Algeria,5.144702692,MENA,MENA 2003,0,dev,AG
Angola-1981,1981,22.0690937,9.214681625,Angola,-9.989850335,SSAF,SSAF 1981,1,dev 1981,AO
Angola-1982,1982,21.58136749,10.14371109,Angola,-3.542974713,SSAF,SSAF 1982,1,dev 1982,AO
Angola-1983,1983,22.35398865,10.34305191,Angola,0.566780138,SSAF,SSAF 1983,1,dev 1983,AO
Angola-1984,1984,22.38202858,11.47950172,Angola,2.467700706,SSAF,SSAF 1984,1,dev 1984,AO
Angola-1985,1985,22.11984634,10.86559582,Angola,0.378056356,SSAF,SSAF 1985,1,dev 1985,AO
Angola-1986,1986,21.79256821,11.68961906,Angola,0.042936229,SSAF,SSAF 1986,1,dev 1986,AO
Angola-1987,1987,22.54782295,10.07184792,Angola,5.150390585,SSAF,SSAF 1987,1,dev 1987,AO
Angola-1988,1988,22.34696198,11.55589771,Angola,3.096578095,SSAF,SSAF 1988,1,dev 1988,AO
Angola-1989,1989,22.20719528,9.728636742,Angola,-2.065397335,SSAF,SSAF 1989,1,dev 1989,AO
Angola-1990,1990,22.69230843,10.68451309,Angola,-3.006687242,SSAF,SSAF 1990,1,dev 1990,AO
Angola-1991,1991,22.35913277,11.26795673,Angola,-4.198500285,SSAF,SSAF 1991,1,dev 1991,AO
Angola-1992,1992,22.70555115,9.926756859,Angola,-10.34036725,SSAF,SSAF 1992,1,dev 1992,AO
Angola-1993,1993,22.39178085,10.43226528,Angola,-31.60733167,SSAF,SSAF 1993,1,dev 1993,AO
Angola-1994,1994,22.27742195,10.57844353,Angola,0.346018941,SSAF,SSAF 1994,1,dev 1994,AO
Angola-1995,1995,23.15296555,8.819828987,Angola,7.056642303,SSAF,SSAF 1995,1,dev 1995,AO
Angola-1996,1996,22.76276779,10.43265533,Angola,8.062051125,SSAF,SSAF 1996,1,dev 1996,AO
Angola-1997,1997,22.73720551,12.17280293,Angola,5.256614898,SSAF,SSAF 1997,1,dev 1997,AO
Angola-1998,1998,23.41319275,11.13704777,Angola,4.32581724,SSAF,SSAF 1998,1,dev 1998,AO
Angola-1999,1999,22.61512566,12.31603432,Angola,0.866428067,SSAF,SSAF 1999,1,dev 1999,AO
Angola-2000,2000,22.57356644,11.20857239,Angola,0.48175252,SSAF,SSAF 2000,1,dev 2000,AO
Angola-2001,2001,22.6737957,9.426105499,Angola,0.425903865,SSAF,SSAF 2001,1,dev 2001,AO
Angola-2002,2002,22.86686325,10.24930096,Angola,10.73010405,SSAF,SSAF 2002,1,dev 2002,AO
Angola-2003,2003,23.06787491,8.860188484,Angola,0.368196911,SSAF,SSAF 2003,1,dev 2003,AO
Argentina-1961,1961,17.25257683,9.327795982,Argentina,3.675615412,LAC,LAC 1961,0,dev,AR
Argentina-1962,1962,16.67660522,6.410542488,Argentina,-2.444693574,LAC,LAC 1962,0,dev,AR
Argentina-1963,1963,17.00497627,9.823322296,Argentina,-7.016461182,LAC,LAC 1963,0,dev,AR
Argentina-1964,1964,16.41110802,7.770227909,Argentina,8.122857537,LAC,LAC 1964,0,dev,AR
Argentina-1965,1965,17.0848465,7.776388645,Argentina,8.559075393,LAC,LAC 1965,0,dev,AR
Argentina-1966,1966,16.69955444,9.096405983,Argentina,-2.1061934,LAC,LAC 1966,0,dev,AR
Argentina-1967,1967,17.17187119,8.668047905,Argentina,1.729988741,LAC,LAC 1967,0,dev,AR
Argentina-1968,1968,17.17190361,8.126605034,Argentina,3.295327296,LAC,LAC 1968,0,dev,AR
Argentina-1969,1969,17.36556625,7.805512428,Argentina,7.778590009,LAC,LAC 1969,0,dev,AR
Argentina-1970,1970,17.27961349,7.716813564,Argentina,1.466378865,LAC,LAC 1970,0,dev,AR
Argentina-1971,1971,16.76666451,8.657241821,Argentina,3.884931147,LAC,LAC 1971,0,dev,AR
Argentina-1972,1972,17.01622581,8.812895775,Argentina,-0.071135101,LAC,LAC 1972,0,dev,AR
Argentina-1973,1973,16.81051826,9.498519897,Argentina,1.057447539,LAC,LAC 1973,0,dev,AR
Argentina-1974,1974,16.96350479,7.689918041,Argentina,3.692860351,LAC,LAC 1974,0,dev,AR
Argentina-1975,1975,17.22246933,7.859324455,Argentina,-1.66538623,LAC,LAC 1975,0,dev,AR
Argentina-1976,1976,16.67797089,9.087222099,Argentina,-3.609685338,LAC,LAC 1976,0,dev,AR
Argentina-1977,1977,17.62555695,9.370244026,Argentina,5.185654029,LAC,LAC 1977,0,dev,AR
Argentina-1978,1978,17.17951775,10.2733736,Argentina,-6.096978974,LAC,LAC 1978,0,dev,AR
Argentina-1979,1979,17.10751343,8.118563652,Argentina,8.251287427,LAC,LAC 1979,0,dev,AR
Argentina-1980,1980,17.56278229,8.970498085,Argentina,2.570982959,LAC,LAC 1980,0,dev,AR
Argentina-1981,1981,17.39714241,9.259197235,Argentina,-7.372072635,LAC,LAC 1981,0,dev,AR
Argentina-1982,1982,17.44756126,8.844384193,Argentina,-6.606997384,LAC,LAC 1982,0,dev,AR
Argentina-1983,1983,16.96819305,8.40222168,Argentina,2.277458376,LAC,LAC 1983,0,dev,AR
Argentina-1984,1984,16.70322037,10.18963814,Argentina,0.671370113,LAC,LAC 1984,0,dev,AR
Argentina-1985,1985,17.429039,8.239811897,Argentina,-9.390674111,LAC,LAC 1985,0,dev,AR
Argentina-1986,1986,17.56395531,8.767273903,Argentina,6.098205663,LAC,LAC 1986,0,dev,AR
Argentina-1987,1987,17.17318916,8.311283112,Argentina,1.402833719,LAC,LAC 1987,0,dev,AR
Argentina-1988,1988,16.65789032,7.037354469,Argentina,-4.038214215,LAC,LAC 1988,0,dev,AR
Argentina-1989,1989,17.51804924,7.508559704,Argentina,-9.222810811,LAC,LAC 1989,0,dev,AR
Argentina-1990,1990,17.08584785,10.16373444,Argentina,-3.841021349,LAC,LAC 1990,0,dev,AR
Argentina-1991,1991,17.31930542,9.64943409,Argentina,10.5348271,LAC,LAC 1991,0,dev,AR
Argentina-1992,1992,16.84576225,10.00300217,Argentina,9.907554279,LAC,LAC 1992,0,dev,AR
Argentina-1993,1993,17.08574867,9.968758583,Argentina,4.394493685,LAC,LAC 1993,0,dev,AR
Argentina-1994,1994,17.75764465,9.277258873,Argentina,4.362937817,LAC,LAC 1994,0,dev,AR
Argentina-1995,1995,17.1513443,8.363823891,Argentina,-4.155460441,LAC,LAC 1995,0,dev,AR
Argentina-1996,1996,17.23362541,8.420005798,Argentina,4.14985643,LAC,LAC 1996,0,dev,AR
Argentina-1997,1997,17.76153564,8.338799477,Argentina,6.607165294,LAC,LAC 1997,0,dev,AR
Argentina-1998,1998,17.03820801,8.078350067,Argentina,2.626384251,LAC,LAC 1998,0,dev,AR
Argentina-1999,1999,16.94185257,7.72299242,Argentina,-4.552845915,LAC,LAC 1999,0,dev,AR
Argentina-2000,2000,16.84423065,10.96940804,Argentina,-1.858174297,LAC,LAC 2000,0,dev,AR
Argentina-2001,2001,17.58013153,11.15161705,Argentina,-5.530125664,LAC,LAC 2001,0,dev,AR
Argentina-2002,2002,17.40517807,11.74546242,Argentina,-12.51673533,LAC,LAC 2002,0,dev,AR
Argentina-2003,2003,17.44289398,9.604468346,Argentina,7.508519568,LAC,LAC 2003,0,dev,AR
Australia-1961,1961,16.23941803,8.472412109,Australia,-0.331177055,WEOFF,WEOFF 1961,0,dev,AS
Australia-1962,1962,15.88499451,8.740918159,Australia,3.779831339,WEOFF,WEOFF 1962,0,dev,AS
Australia-1963,1963,15.9743309,10.94063473,Australia,4.938793244,WEOFF,WEOFF 1963,0,dev,AS
Australia-1964,1964,15.59096432,8.70602417,Australia,4.916074863,WEOFF,WEOFF 1964,0,dev,AS
Australia-1965,1965,15.98361588,6.750325203,Australia,-0.057483821,WEOFF,WEOFF 1965,0,dev,AS
Australia-1966,1966,15.55145264,7.596909523,Australia,4.097137633,WEOFF,WEOFF 1966,0,dev,AS
Australia-1967,1967,15.98344612,8.079590797,Australia,2.488318951,WEOFF,WEOFF 1967,0,dev,AS
Australia-1968,1968,15.90853214,7.990978241,Australia,6.601647912,WEOFF,WEOFF 1968,0,dev,AS
Australia-1969,1969,15.94890881,8.520823479,Australia,3.168468257,WEOFF,WEOFF 1969,0,dev,AS
Australia-1970,1970,15.62016582,8.711694717,Australia,2.560814713,WEOFF,WEOFF 1970,0,dev,AS
Australia-1971,1971,15.70346451,8.83649826,Australia,0.470126041,WEOFF,WEOFF 1971,0,dev,AS
Australia-1972,1972,16.05680275,8.227526665,Australia,1.01335186,WEOFF,WEOFF 1972,0,dev,AS
Australia-1973,1973,16.40266418,10.27962112,Australia,2.687965695,WEOFF,WEOFF 1973,0,dev,AS
Australia-1974,1974,15.85249233,11.4519558,Australia,-1.365699491,WEOFF,WEOFF 1974,0,dev,AS
Australia-1975,1975,16.17282104,8.867803574,Australia,1.500554445,WEOFF,WEOFF 1975,0,dev,AS
Australia-1976,1976,15.84670353,8.962153435,Australia,2.379135489,WEOFF,WEOFF 1976,0,dev,AS
Australia-1977,1977,16.19484711,7.222303391,Australia,-0.119789236,WEOFF,WEOFF 1977,0,dev,AS
Australia-1978,1978,15.93414593,10.28036499,Australia,2.908755569,WEOFF,WEOFF 1978,0,dev,AS
Australia-1979,1979,16.35326004,6.529969692,Australia,2.049485739,WEOFF,WEOFF 1979,0,dev,AS
Australia-1980,1980,16.63794708,6.488438129,Australia,2.12071788,WEOFF,WEOFF 1980,0,dev,AS
Australia-1981,1981,16.41476822,9.097392082,Australia,1.533111464,WEOFF,WEOFF 1981,0,dev,AS
Australia-1982,1982,16.24307442,5.929064751,Australia,-4.063975572,WEOFF,WEOFF 1982,0,dev,AS
Australia-1983,1983,16.30028915,9.171654701,Australia,3.325273227,WEOFF,WEOFF 1983,0,dev,AS
Australia-1984,1984,15.61760902,8.74966526,Australia,4.079609765,WEOFF,WEOFF 1984,0,dev,AS
Australia-1985,1985,16.01603889,8.430329323,Australia,2.959367351,WEOFF,WEOFF 1985,0,dev,AS
Australia-1986,1986,15.70087433,7.950605869,Australia,0.611554954,WEOFF,WEOFF 1986,0,dev,AS
Australia-1987,1987,16.0329895,8.245822906,Australia,3.814595828,WEOFF,WEOFF 1987,0,dev,AS
Australia-1988,1988,16.66955376,10.36327744,Australia,2.31619636,WEOFF,WEOFF 1988,0,dev,AS
Australia-1989,1989,16.04843712,10.03212452,Australia,2.166578317,WEOFF,WEOFF 1989,0,dev,AS
Australia-1990,1990,16.30769539,10.06413269,Australia,-2.059732717,WEOFF,WEOFF 1990,0,dev,AS
Australia-1991,1991,16.48739624,7.505049706,Australia,-1.161991115,WEOFF,WEOFF 1991,0,dev,AS
Australia-1992,1992,15.58830547,9.579746246,Australia,2.477511086,WEOFF,WEOFF 1992,0,dev,AS
Australia-1993,1993,15.84520435,7.461708546,Australia,3.085607001,WEOFF,WEOFF 1993,0,dev,AS
Australia-1994,1994,15.74623013,5.753898144,Australia,3.315330984,WEOFF,WEOFF 1994,0,dev,AS
Australia-1995,1995,15.32542419,8.516425133,Australia,2.828642482,WEOFF,WEOFF 1995,0,dev,AS
Australia-1996,1996,15.3346014,8.437144279,Australia,2.545471969,WEOFF,WEOFF 1996,0,dev,AS
Australia-1997,1997,15.84032631,6.282014847,Australia,3.26267507,WEOFF,WEOFF 1997,0,dev,AS
Australia-1998,1998,15.92244816,8.424718857,Australia,4.004196207,WEOFF,WEOFF 1998,0,dev,AS
Australia-1999,1999,15.72509003,7.843216419,Australia,2.76091234,WEOFF,WEOFF 1999,0,dev,AS
Australia-2000,2000,15.78606224,7.74017477,Australia,0.728011968,WEOFF,WEOFF 2000,0,dev,AS
Australia-2001,2001,15.72294044,7.185035229,Australia,2.354391832,WEOFF,WEOFF 2001,0,dev,AS
Australia-2002,2002,15.87901402,5.840891361,Australia,2.026638062,WEOFF,WEOFF 2002,0,dev,AS
Australia-2003,2003,15.68428326,7.418700695,Australia,2.729134306,WEOFF,WEOFF 2003,0,dev,AS
Austria-1961,1961,8.19452858,8.772742271,Austria,4.624048938,WEOFF,WEOFF 1961,0,dev,AU
Austria-1962,1962,6.581306934,10.1098299,Austria,1.764350047,WEOFF,WEOFF 1962,0,dev,AU
Austria-1963,1963,6.768648624,8.700181007,Austria,3.410670182,WEOFF,WEOFF 1963,0,dev,AU
Austria-1964,1964,7.243498802,9.768751144,Austria,5.264575115,WEOFF,WEOFF 1964,0,dev,AU
Austria-1965,1965,6.605638027,11.79420471,Austria,2.265240319,WEOFF,WEOFF 1965,0,dev,AU
Austria-1966,1966,7.916236877,11.38442802,Austria,4.76152352,WEOFF,WEOFF 1966,0,dev,AU
Austria-1967,1967,7.975571632,9.313896179,Austria,2.554024598,WEOFF,WEOFF 1967,0,dev,AU
Austria-1968,1968,7.456752777,9.130800247,Austria,4.048659125,WEOFF,WEOFF 1968,0,dev,AU
Austria-1969,1969,7.065536022,9.243901253,Austria,5.788418611,WEOFF,WEOFF 1969,0,dev,AU
Austria-1970,1970,7.119098663,10.59410477,Austria,6.313450042,WEOFF,WEOFF 1970,0,dev,AU
Austria-1971,1971,7.4015522,7.324410915,Austria,4.529905532,WEOFF,WEOFF 1971,0,dev,AU
Austria-1972,1972,7.179357052,9.782470703,Austria,5.354819678,WEOFF,WEOFF 1972,0,dev,AU
Austria-1973,1973,7.293462276,8.65746212,Austria,4.200665662,WEOFF,WEOFF 1973,0,dev,AU
Austria-1974,1974,7.846364498,9.483605385,Austria,3.722444238,WEOFF,WEOFF 1974,0,dev,AU
Austria-1975,1975,7.919337749,9.535579681,Austria,-0.25710555,WEOFF,WEOFF 1975,0,dev,AU
Austria-1976,1976,7.504397869,8.767598152,Austria,4.528286045,WEOFF,WEOFF 1976,0,dev,AU
Austria-1977,1977,8.0522089,8.316092491,Austria,4.604711421,WEOFF,WEOFF 1977,0,dev,AU
Austria-1978,1978,6.936470509,8.137662888,Austria,-0.058785081,WEOFF,WEOFF 1978,0,dev,AU
Austria-1979,1979,7.432068825,10.51683426,Austria,5.368170642,WEOFF,WEOFF 1979,0,dev,AU
Austria-1980,1980,6.55799675,9.338923454,Austria,1.728320344,WEOFF,WEOFF 1980,0,dev,AU
Austria-1981,1981,7.471489906,9.267049789,Austria,-0.307490723,WEOFF,WEOFF 1981,0,dev,AU
Austria-1982,1982,7.831339359,9.393643379,Austria,1.80986567,WEOFF,WEOFF 1982,0,dev,AU
Austria-1983,1983,8.155609131,8.1547966,Austria,3.309250125,WEOFF,WEOFF 1983,0,dev,AU
Austria-1984,1984,7.016545296,8.575829506,Austria,-0.018959807,WEOFF,WEOFF 1984,0,dev,AU
Austria-1985,1985,6.855268955,9.890434265,Austria,2.484200158,WEOFF,WEOFF 1985,0,dev,AU
Austria-1986,1986,7.180378437,8.678268433,Austria,2.049992503,WEOFF,WEOFF 1986,0,dev,AU
Austria-1987,1987,7.073873043,10.15112782,Austria,1.422638581,WEOFF,WEOFF 1987,0,dev,AU
Austria-1988,1988,7.961912155,9.557468414,Austria,3.11643812,WEOFF,WEOFF 1988,0,dev,AU
Austria-1989,1989,8.177906036,9.130102158,Austria,2.992107586,WEOFF,WEOFF 1989,0,dev,AU
Austria-1990,1990,8.186964989,9.319419861,Austria,3.465722838,WEOFF,WEOFF 1990,0,dev,AU
Austria-1991,1991,7.235692501,9.461432457,Austria,2.39857508,WEOFF,WEOFF 1991,0,dev,AU
Austria-1992,1992,8.510910988,9.594768524,Austria,2.544239468,WEOFF,WEOFF 1992,0,dev,AU
Austria-1993,1993,7.629806995,8.375114441,Austria,-1.52885592,WEOFF,WEOFF 1993,0,dev,AU
Austria-1994,1994,9.005589485,8.949565887,Austria,2.626127525,WEOFF,WEOFF 1994,0,dev,AU
Austria-1995,1995,7.669297218,9.151568413,Austria,1.585615081,WEOFF,WEOFF 1995,0,dev,AU
Austria-1996,1996,6.634970665,9.951934814,Austria,2.435909318,WEOFF,WEOFF 1996,0,dev,AU
Austria-1997,1997,7.718380928,8.870444298,Austria,1.745602435,WEOFF,WEOFF 1997,0,dev,AU
Austria-1998,1998,7.964814186,8.969722748,Austria,3.35676563,WEOFF,WEOFF 1998,0,dev,AU
Austria-1999,1999,8.042144775,9.464738846,Austria,3.02057967,WEOFF,WEOFF 1999,0,dev,AU
Austria-2000,2000,8.874436378,9.330435753,Austria,3.184030146,WEOFF,WEOFF 2000,0,dev,AU
Austria-2001,2001,8.049870491,8.640162468,Austria,0.436011122,WEOFF,WEOFF 2001,0,dev,AU
Austria-2002,2002,8.714003563,10.32569885,Austria,0.455372018,WEOFF,WEOFF 2002,0,dev,AU
Austria-2003,2003,8.266979218,7.222189903,Austria,0.972406038,WEOFF,WEOFF 2003,0,dev,AU
Bahamas-1961,1961,25.20000076,6.97699976,Bahamas,5.119647387,LAC,LAC 1961,0,dev,BF
Bahamas-1962,1962,24.86583328,9.210999489,Bahamas,4.831984206,LAC,LAC 1962,0,dev,BF
Bahamas-1963,1963,24.76666641,11.71299934,Bahamas,4.930721117,LAC,LAC 1963,0,dev,BF
Bahamas-1964,1964,25.22583389,11.35999966,Bahamas,5.072763557,LAC,LAC 1964,0,dev,BF
Bahamas-1965,1965,25.08916664,11.56099987,Bahamas,5.255489551,LAC,LAC 1965,0,dev,BF
Bahamas-1966,1966,24.75499916,14.52950001,Bahamas,4.267164401,LAC,LAC 1966,0,dev,BF
Bahamas-1967,1967,25.03333282,8.039500237,Bahamas,4.992740094,LAC,LAC 1967,0,dev,BF
Bahamas-1968,1968,24.47500038,15.10700035,Bahamas,4.232113452,LAC,LAC 1968,0,dev,BF
Bahamas-1969,1969,24.79333305,14.23999977,Bahamas,5.143110292,LAC,LAC 1969,0,dev,BF
Bahamas-1970,1970,24.48749924,9.289999962,Bahamas,-8.844849831,LAC,LAC 1970,0,dev,BF
Bahamas-1971,1971,24.75416756,9.901000023,Bahamas,-0.975544335,LAC,LAC 1971,0,dev,BF
Bahamas-1972,1972,25.14999962,11.73050022,Bahamas,-5.774120256,LAC,LAC 1972,0,dev,BF
Bahamas-1973,1973,24.73333359,13.47600079,Bahamas,5.317896162,LAC,LAC 1973,0,dev,BF
Bahamas-1974,1974,24.75416756,10.21549988,Bahamas,-20.25166105,LAC,LAC 1974,0,dev,BF
Bahamas-1975,1975,25.07500076,12.80649948,Bahamas,-17.99272489,LAC,LAC 1975,0,dev,BF
Bahamas-1976,1976,24.58749962,13.99350071,Bahamas,2.997654309,LAC,LAC 1976,0,dev,BF
Bahamas-1977,1977,24.75416756,11.03950024,Bahamas,6.644631183,LAC,LAC 1977,0,dev,BF
Bahamas-1978,1978,24.84583282,13.66050053,Bahamas,11.10229305,LAC,LAC 1978,0,dev,BF
Bahamas-1979,1979,24.91250038,14.77700043,Bahamas,21.04952461,LAC,LAC 1979,0,dev,BF
Bahamas-1980,1980,24.92499924,14.46749973,Bahamas,4.129007279,LAC,LAC 1980,0,dev,BF
Bahamas-1981,1981,24.74166679,8.684499741,Bahamas,-11.84775587,LAC,LAC 1981,0,dev,BF
Bahamas-1982,1982,25.58749962,12.74349976,Bahamas,4.308684098,LAC,LAC 1982,0,dev,BF
Bahamas-1983,1983,25.16666603,16.14599991,Bahamas,1.389191509,LAC,LAC 1983,0,dev,BF
Bahamas-1984,1984,24.77916718,13.85200024,Bahamas,11.18334374,LAC,LAC 1984,0,dev,BF
Bahamas-1985,1985,24.88750076,13.19150066,Bahamas,2.749900524,LAC,LAC 1985,0,dev,BF
Bahamas-1986,1986,25.29166603,10.52850056,Bahamas,-0.067880765,LAC,LAC 1986,0,dev,BF
Bahamas-1987,1987,25.12916756,15.58500004,Bahamas,1.189936015,LAC,LAC 1987,0,dev,BF
Bahamas-1988,1988,25.19583321,15.49400043,Bahamas,0.582967892,LAC,LAC 1988,0,dev,BF
Bahamas-1989,1989,25.40833282,11.53149986,Bahamas,0.563705633,LAC,LAC 1989,0,dev,BF
Bahamas-1990,1990,25.80416679,11.49750042,Bahamas,-0.663173257,LAC,LAC 1990,0,dev,BF
Bahamas-1991,1991,25.82916641,18.96450043,Bahamas,-4.56382163,LAC,LAC 1991,0,dev,BF
Bahamas-1992,1992,25.22916603,10.7055006,Bahamas,-3.878543865,LAC,LAC 1992,0,dev,BF
Bahamas-1993,1993,25.49166679,14.54199982,Bahamas,0.017574177,LAC,LAC 1993,0,dev,BF
Bahamas-1994,1994,25.71666718,12.88549995,Bahamas,-1.521805465,LAC,LAC 1994,0,dev,BF
Bahamas-1995,1995,23.67916679,16.5890007,Bahamas,-1.439122914,LAC,LAC 1995,0,dev,BF
Bahamas-1996,1996,23.75,12.24499989,Bahamas,2.46159435,LAC,LAC 1996,0,dev,BF
Bahamas-1997,1997,25.79166603,15.58300018,Bahamas,1.666419406,LAC,LAC 1997,0,dev,BF
Bahamas-1998,1998,26.00416756,11.10149956,Bahamas,1.434668862,LAC,LAC 1998,0,dev,BF
Bahamas-1999,1999,25.62916756,11.83850002,Bahamas,4.250583933,LAC,LAC 1999,0,dev,BF
