year,region,elec,tax
2010 ,성북구,1521644 ,262784 
2010 ,송파구,2622601 ,677774 
2010 ,양천구,1582350 ,307088 
2010 ,영등포구,2715932 ,699919 
2010 ,용산구,1450508 ,432422 
2010 ,은평구,1305974 ,218543 
2010 ,종로구,1779862 ,513140 
2010 ,중구,2705378 ,985789 
2010 ,중랑구,1121901 ,158649 
2011 ,강남구,4824516 ,2002562 
2011 ,강동구,1548221 ,330033 
2011 ,강북구,955340 ,129832 
2011 ,강서구,1989458 ,334352 
2011 ,관악구,1720712 ,240709 
2011 ,광진구,1731131 ,229951 
2011 ,구로구,2085871 ,318771 
2011 ,금천구,1551107 ,222276 
2011 ,노원구,1576053 ,231916 
2011 ,도봉구,1091465 ,150077 
2011 ,동대문구,1503174 ,265481 
2011 ,동작구,1270076 ,246619 
2011 ,마포구,1872525 ,395170 
2011 ,서대문구,1232432 ,192534 
2011 ,서초구,3406836 ,1056778 
2011 ,성동구,1864641 ,245519 
2011 ,성북구,1517704 ,261548 
2011 ,송파구,2611388 ,718594 
2011 ,양천구,1569968 ,304114 
2011 ,영등포구,2683689 ,797717 
2011 ,용산구,1423597 ,462215 
2011 ,은평구,1302205 ,217290 
2011 ,종로구,1756582 ,528591 
2011 ,중구,2687503 ,1089188 
2011 ,중랑구,1126820 ,179917 
2012 ,강남구,4852738 ,2179378 
2012 ,강동구,1573871 ,352534 
2012 ,강북구,957290 ,144909 
2012 ,강서구,2066806 ,342329 
2012 ,관악구,1726088 ,232427 
2012 ,광진구,1703194 ,244427 
2012 ,구로구,2006666 ,288985 
2012 ,금천구,1607747 ,225532 
2012 ,노원구,1581135 ,222166 
2012 ,도봉구,1107851 ,147034 
2012 ,동대문구,1496933 ,254922 
2012 ,동작구,1286407 ,259951 
2012 ,마포구,1928173 ,427757 
2012 ,서대문구,1242853 ,196378 
2012 ,서초구,3425723 ,1083236 
2012 ,성동구,1872942 ,252092 
2012 ,성북구,1531049 ,262750 
2012 ,송파구,2592891 ,710089 
2012 ,양천구,1590946 ,307265 
2012 ,영등포구,2717623 ,861124 
2012 ,용산구,1419021 ,425579 
2012 ,은평구,1337947 ,213994 
2012 ,종로구,1760642 ,562950 
2012 ,중구,2714330 ,1254642 
2012 ,중랑구,1133229 ,176923 
2013 ,강남구,4735139 ,1962784 
2013 ,강동구,1530189 ,318058 
2013 ,강북구,934713 ,131602 
2013 ,강서구,2027907 ,337865 
2013 ,관악구,1698733 ,232834 
2013 ,광진구,1665334 ,216058 
2013 ,구로구,1934866 ,286453 
2013 ,금천구,1627420 ,240047 
2013 ,노원구,1565876 ,218830 
2013 ,도봉구,1044008 ,141852 
2013 ,동대문구,1474187 ,261716 
2013 ,동작구,1285386 ,249298 
2013 ,마포구,1941318 ,425614 
2013 ,서대문구,1224689 ,189310 
2013 ,서초구,3429028 ,1073906 
2013 ,성동구,1893708 ,260542 
2013 ,성북구,1503941 ,245649 
2013 ,송파구,2576985 ,757117 
2013 ,양천구,1567612 ,290402 
2013 ,영등포구,2684829 ,769613 
2013 ,용산구,1391454 ,409256 
2013 ,은평구,1340655 ,200357 
2013 ,종로구,1734156 ,606129 
2013 ,중구,2630165 ,1134753 
2013 ,중랑구,1112893 ,180683 
2014 ,강남구,4538646 ,2093900 
2014 ,강동구,1484984 ,349487 
2014 ,강북구,894535 ,146996 
2014 ,강서구,1971861 ,470182 
2014 ,관악구,1638599 ,254062 
2014 ,광진구,1599239 ,241672 
2014 ,구로구,1858208 ,335837 
2014 ,금천구,1584770 ,279305 
2014 ,노원구,1495925 ,240990 
2014 ,도봉구,889826 ,154780 
2014 ,동대문구,1413078 ,289123 
2014 ,동작구,1250975 ,260037 
2014 ,마포구,1916532 ,487091 
2014 ,서대문구,1191860 ,227530 
2014 ,서초구,3441528 ,1211913 
2014 ,성동구,1860251 ,317808 
2014 ,성북구,1440363 ,266689 
2014 ,송파구,2515315 ,865765 
2014 ,양천구,1506497 ,324164 
2014 ,영등포구,2583494 ,817962 
2014 ,용산구,1343305 ,484996 
2014 ,은평구,1294206 ,231326 
2014 ,종로구,1707267 ,626661 
2014 ,중구,2519655 ,1002940 
2014 ,중랑구,1077938 ,213574 
2015 ,강남구,4629333 ,2976597 
2015 ,강동구,1496248 ,423765 
2015 ,강북구,895335 ,170864 
2015 ,강서구,2001291 ,543171 
2015 ,관악구,1645889 ,302231 
2015 ,광진구,1601889 ,311192 
2015 ,구로구,1868154 ,361837 
2015 ,금천구,1586576 ,296481 
2015 ,노원구,1493235 ,265690 
2015 ,도봉구,889509 ,179709 
2015 ,동대문구,1413501 ,317746 
2015 ,동작구,1250380 ,315401 
2015 ,마포구,1981694 ,588756 
2015 ,서대문구,1199129 ,269341 
2015 ,서초구,3465965 ,1364323 
2015 ,성동구,1880003 ,361607 
2015 ,성북구,1434911 ,310384 
2015 ,송파구,2565578 ,936317 
2015 ,양천구,1531686 ,367573 
2015 ,영등포구,2590033 ,1040314 
2015 ,용산구,1354230 ,530964 
2015 ,은평구,1300717 ,294987 
2015 ,종로구,1730093 ,724241 
2015 ,중구,2489750 ,1233367 
2015 ,중랑구,1086355 ,236931 
2016 ,강남구,4698164 ,2671008 
2016 ,강동구,1513012 ,465178 
2016 ,강북구,917979 ,176213 
2016 ,강서구,2094663 ,582348 
2016 ,관악구,1689675 ,322854 
2016 ,광진구,1641324 ,320004 
2016 ,구로구,1907899 ,392716 
2016 ,금천구,1623126 ,324783 
2016 ,노원구,1520539 ,312648 
2016 ,도봉구,905645 ,186063 
2016 ,동대문구,1445632 ,333335 
2016 ,동작구,1275071 ,356614 
2016 ,마포구,2062722 ,614919 
2016 ,서대문구,1242541 ,316054 
2016 ,서초구,3542874 ,1558097 
2016 ,성동구,1909363 ,396583 
2016 ,성북구,1457941 ,331295 
2016 ,송파구,2665893 ,1191754 
2016 ,양천구,1578142 ,422857 
2016 ,영등포구,2640335 ,1021628 
2016 ,용산구,1392125 ,598947 
2016 ,은평구,1336498 ,298678 
2016 ,종로구,1772001 ,707522 
2016 ,중구,2549834 ,1256128 
2016 ,중랑구,1110240 ,264945 
2017 ,강남구,4615922 ,2759823 
2017 ,강동구,1496299 ,566919 
2017 ,강북구,914686 ,183419 
2017 ,강서구,2205572 ,743619 
2017 ,관악구,1687190 ,347787 
2017 ,광진구,1638530 ,364837 
2017 ,구로구,1874103 ,435902 
2017 ,금천구,1617044 ,351268 
2017 ,노원구,1504211 ,298709 
2017 ,도봉구,890602 ,193652 
2017 ,동대문구,1424697 ,348706 
2017 ,동작구,1267621 ,382469 
2017 ,마포구,2059666 ,630053 
2017 ,서대문구,1237081 ,312943 
2017 ,서초구,3386609 ,1637524 
2017 ,성동구,2034590 ,503220 
2017 ,성북구,1440109 ,347739 
2017 ,송파구,2684728 ,1282360 
2017 ,양천구,1597963 ,400827 
2017 ,영등포구,2610039 ,1050612 
2017 ,용산구,1389968 ,746676 
2017 ,은평구,1362245 ,365802 
2017 ,종로구,1753576 ,784939 
2017 ,중구,2503707 ,1264125 
2017 ,중랑구,1101394 ,252708 
2018 ,강남구,4668553 ,3179117 
2018 ,강동구,1534686 ,501191 
2018 ,강북구,944660 ,185376 
2018 ,강서구,2517803 ,733141 
2018 ,관악구,1744043 ,341730 
2018 ,광진구,1684593 ,409392 
2018 ,구로구,1903682 ,428401 
2018 ,금천구,1639416 ,397424 
2018 ,노원구,1538957 ,302776 
2018 ,도봉구,912361 ,190485 
2018 ,동대문구,1469529 ,386298 
2018 ,동작구,1303622 ,383848 
2018 ,마포구,2147214 ,685970 
2018 ,서대문구,1268429 ,313811 
2018 ,서초구,3340951 ,1828994 
2018 ,성동구,2203584 ,516780 
2018 ,성북구,1473874 ,397314 
2018 ,송파구,2820373 ,1289668 
2018 ,양천구,1698490 ,443180 
2018 ,영등포구,2690642 ,1202173 
2018 ,용산구,1448285 ,692736 
2018 ,은평구,1424503 ,331656 
2018 ,종로구,1779509 ,893657 
2018 ,중구,2516716 ,1411351 
2018 ,중랑구,1135735 ,257921 
2019 ,강남구,4586658 ,3405856 
2019 ,강동구,1520383 ,651426 
2019 ,강북구,916168 ,182701 
2019 ,강서구,2558240 ,774541 
2019 ,관악구,1710701 ,354752 
2019 ,광진구,1633402 ,391148 
2019 ,구로구,1895191 ,425101 
2019 ,금천구,1613000 ,417418 
2019 ,노원구,1507251 ,294657 
2019 ,도봉구,882388 ,200935 
2019 ,동대문구,1428686 ,384483 
2019 ,동작구,1289443 ,420049 
2019 ,마포구,2167127 ,741808 
2019 ,서대문구,1253577 ,347249 
2019 ,서초구,3279210 ,1958971 
2019 ,성동구,2177900 ,530273 
2019 ,성북구,1444406 ,408127 
2019 ,송파구,2837243 ,1521933 
2019 ,양천구,1672960 ,482297 
2019 ,영등포구,2652172 ,1325272 
2019 ,용산구,1401975 ,712486 
2019 ,은평구,1427731 ,342933 
2019 ,종로구,1746555 ,937810 
2019 ,중구,2460734 ,1655928 
2019 ,중랑구,1104107 ,272915 
