year,region,elec_tot,elec_res,elec_serv,elec_ind,gdp,pop
1995,PU,9894.007,2403.083,2810.938,4679.986,43749924.000,3852295.000
1995,SE,23565.808,7299.353,13082.549,3183.906,185098581.000,10342224.000
1995,SJ,,,,,,
1995,UL,,,,,,979606.000
1995,IC,9995.190,1471.319,1489.260,7034.611,38546919.000,2333769.000
1995,JN,7718.537,1142.249,1224.991,5351.297,39492280.000,2088701.000
1995,JB,6881.068,1079.533,1221.677,4579.858,25085280.000,1921970.000
1995,JJ,1052.013,302.401,494.598,255.014,7450774.000,511640.000
1995,CN,7101.854,932.837,1136.070,5032.947,28831852.000,1784205.000
1995,CB,7400.349,783.623,938.518,5678.208,22086859.000,1411922.000
1996,GW,7558.856,927.201,1554.739,5076.916,24901426.000,1483026.000
1996,GG,31898.222,5491.807,7888.520,18517.895,121352335.000,8131905.000
1996,GN,26346.814,2616.978,3060.191,20669.645,72412697.000,2943238.000
1996,GB,17819.374,1633.951,2001.851,14183.572,38775525.000,2724100.000
1996,GJ,3103.708,823.642,1124.120,1155.946,17978636.000,1292483.000
1996,DG,8326.698,1706.325,2102.383,4517.990,30238666.000,2488905.000
1996,DJ,3792.028,892.933,1484.785,1414.310,19742504.000,1315028.000
1996,PU,10885.411,2621.175,3298.600,4965.636,46044004.000,3826168.000
1996,SE,25686.049,7687.215,14836.155,3162.679,195791851.000,10195359.000
1996,SJ,,,,,,
1996,UL,,,,,,998430.000
1996,IC,11188.533,1633.581,1877.609,7677.343,40762864.000,2375816.000
1996,JN,8864.129,1229.304,1358.916,6275.909,42154621.000,2077343.000
1996,JB,7994.503,1183.476,1437.852,5373.175,27201090.000,1923449.000
1996,JJ,1194.307,317.958,578.792,297.557,7641803.000,513926.000
1996,CN,9226.106,1010.850,1382.105,6833.151,32476312.000,1804044.000
1996,CB,8585.639,866.079,1104.163,6615.397,24310971.000,1431461.000
1997,GW,8069.295,981.760,1833.253,5254.282,26025382.000,1489229.000
1997,GG,35250.295,6026.095,9431.093,19793.107,124658091.000,8449371.000
1997,GN,28769.140,2772.486,3542.628,22454.026,79696351.000,2975321.000
1997,GB,20361.454,1692.231,2605.349,16063.874,44492072.000,2745318.000
1997,GJ,3447.577,897.081,1318.714,1231.782,18559392.000,1317015.000
1997,DG,8629.455,1781.827,2400.488,4447.140,31886745.000,2495979.000
