serial,address,lat,lon
OC3CL200099,서울특별시 강동구 성내동 519-12,37.53062449,127.1284073
OC3CL200101,서울특별시 강동구 천호동 1-2,37.55048669,127.1395816
OC3CL200102,서울특별시 강동구 천호동 290-39,37.54742334,127.1312276
OC3CL200103,서울특별시 강동구 길동 157-10,37.54049414,127.1482071
OC3CL200105,서울특별시 강동구 상일동 325-1,37.54771228,127.1726824
OC3CL200106,서울특별시 강동구 성내동 500,37.53312245,127.1323931
OC3CL200107,서울특별시 강동구 천호동 233-48,37.54825641,127.1368244
OC3CL200081,서울특별시 강동구 천호동 361,37.54514714,127.1275513
OC3CL200108,서울특별시 강동구 고덕동 289-4,37.56062598,127.157431
OC3CL200060,서울특별시 강동구 둔촌동 산 28-1,37.52221023,127.1455199
OC3CL200083,서울특별시 강동구 둔촌동 599,37.53182933,127.1496707
OC3CL200117,서울특별시 강동구 상일동 507,37.55087372,127.1775763
OC3CL200110,서울특별시 강동구 암사동 458,37.55465728,127.1328591
OC3CL200084,서울특별시 강동구 천호동 326-18,37.54588985,127.12371
OC3CL200114,서울특별시 강동구 천호동 316-4,37.54799097,127.1261418
OC3CL200062,서울특별시 강동구 천호동 463-38,37.5419464,127.1215875
OC3CL200017,서울특별시 강동구 성내동 448-8,37.52411075,127.1286688
OC3CL200072,서울특별시 강동구 암사동 139-2,37.55967518,127.1312918
OC3CL200074,서울특별시 강동구 천호동 42,37.54626753,127.1430179
OC3CL200070,서울특별시 강동구 성내동 459-6,37.5272027,127.121662
OC3CL200205,서울특별시 강동구 성내동 19-1,37.53677728,127.1287361
OC3CL200171,서울특별시 강동구 양재대로 1716,37.55869892,127.1443342
OC3CL200131,서울특별시 강동구 강일동 601-1,37.56320788,127.1723485
OC3CL200123,서울특별시 강동구 성내동 449-15,37.52195425,127.133721
OC3CL200071,서울특별시 강동구 고덕동 197-4,37.55941343,127.1708168
OC3CL200158,서울특별시 강동구 둔촌동 180-2,37.51939359,127.1393182
V02Q1940330,서울특별시 강북구 미아동 791-985,37.62778821,127.0193507
V02Q1940160,서울특별시 강북구 수유동 279-306,37.64791875,127.0124561
V02Q1940314,서울특별시 강북구 미아동 679-12,37.61856124,127.0228038
V02Q1940207,서울특별시 강북구 미아동 1353,37.61707714,127.0152725
V02Q1940431,서울특별시 강북구 번동 454-116,37.63638945,127.0339636
V02Q1940394,서울특별시 강북구 번동 253,37.63213319,127.0380993
V02Q1940414,서울특별시 강북구 번동 241,37.62596558,127.0461778
V02Q1940386,서울특별시 강북구 미아동 87-115,37.61589809,127.0341603
V02Q1940429,서울특별시 강북구 수유동 553-61,37.64201094,127.0110328
V02Q1940378,서울특별시 강북구 수유동 472-564,37.63115555,127.016796
V02Q1940300,서울특별시 강북구 수유동 605-207,37.64378512,127.0194517
V02Q1940409,서울특별시 강북구 수유동 142,37.63809491,127.0237698
V02Q1940137,서울특별시 강북구 미아동 195-1,37.62731949,127.0271506
V02Q1940107,서울특별시 강북구 미아동 1354-15,37.62077412,127.0123532
V02Q1940340,서울특별시 강북구 미아동 229-22,37.6255552,127.027215
V02Q1940253,서울특별시 강북구 우이동 80,37.65390832,127.0112019
V02Q1940949,서울특별시 강북구 수유동 55-7,37.6303757,127.0226279
V02Q1940746,서울특별시 강북구 수유동 55-7,37.6321897,127.021742
V02Q1940448,서울특별시 강북구 수유동 54-5,37.63075938,127.0235503
V02Q1940477,서울특별시 강북구 우이동 165-22,37.6620208,127.0110858
V02Q1940823,서울특별시 강북구 수유동 605-613,37.63506161,127.0181629
V02Q1940763,서울특별시 강북구 번동 148-383,37.62659207,127.0346233
OC3CL200134,서울특별시 강북구 번동 417-58,37.63736615,127.0291526
OC3CL200066,서울특별시 강북구 미아동 754-63,37.62300566,127.0218915
OC3CL200133,서울특별시 강북구 미아동 61-17,37.6146516,127.028974
OC3CL200132,서울특별시 강북구 수유동 535-228,37.64400709,127.0039409
OC3CL200130,서울특별시 강북구 미아동 791-1549,37.62523296,127.0138596
OC3CL200129,서울특별시 강북구 번동 248,37.62331968,127.0460579
OC3CL200136,서울특별시 강북구 수유동 719-2,37.6471793,127.0246187
OC3CL200104,서울특별시 강북구 수유동 32-2,37.64061679,127.021637
OC3CL200100,서울특별시 강북구 번동 95-7,37.61999399,127.0437864
V02Q1940114,서울특별시 강서구 가양동 146-32,37.56929679,126.8427325
V02Q1940066,서울특별시 강서구 가양동 36-3,37.56721931,126.8475165
V02Q1940130,서울특별시 강서구 가양동 1484,37.56124878,126.8596643
V02Q1940163,서울특별시 강서구 공항동 60-10,37.55938828,126.8098556
V02Q1940104,서울특별시 강서구 등촌동 653-8,37.55515562,126.858558
V02Q1940180,서울특별시 강서구 등촌동 산 89-3,37.53803771,126.8628336
V02Q1940166,서울특별시 강서구 등촌동 659,37.55785223,126.849018
V02Q1940124,서울특별시 강서구 내발산동 686-4,37.55338226,126.8325758
V02Q1940105,서울특별시 강서구 방화동 281-20,37.57287575,126.8151904
V02Q1940125,서울특별시 강서구 방화동 620-32,37.56267922,126.8086245
V02Q1940126,서울특별시 강서구 방화동 318-2,37.57836214,126.8159088
V02Q1940069,서울특별시 강서구 염창동 276-9,37.54980487,126.8702252
V02Q1940062,서울특별시 강서구 화곡동 산 60-1,37.54882399,126.8434758
V02Q1940179,서울특별시 강서구 화곡동 46-156,37.54386703,126.8476199
V02Q1940162,서울특별시 강서구 화곡동 355-48,37.53059931,126.8405692
V02Q1940182,서울특별시 강서구 화곡동 851-20,37.53237894,126.8553371
V02Q1940167,서울특별시 강서구 화곡동 1089-17,37.54481973,126.8358435
V02Q1940173,서울특별시 강서구 화곡동 943-7,37.53400973,126.8610668
V02Q1940187,서울특별시 강서구 화곡동 1117,37.55295757,126.85136
V02Q1940113,서울특별시 강서구 염창동 208-2,37.55450397,126.8741754
V02Q1940078,서울특별시 강서구 화곡동 1064,37.54254621,126.8403227
V02Q1940189,서울특별시 강서구 화곡동 산 41-7,37.54175046,126.8515917
V02Q1940346,서울특별시 강서구 화곡동 361-1,37.53438349,126.8379965
V02Q1940853,서울특별시 강서구 화곡동 668-10,37.53521949,126.8398536
V02Q1940093,서울특별시 강서구 방화동 134-20,37.57784085,126.818892
V02Q1940103,서울특별시 강서구 방화동 산 103-2,37.57904271,126.8184922
V02Q1940181,서울특별시 강서구 화곡동 947-4,37.52757708,126.843082
V02Q1940072,서울특별시 강서구 화곡동 999-6,37.55183644,126.8458607
V02Q1940824,서울특별시 강서구 방화동 17-4,37.58481256,126.8215868
V02Q1940782,서울특별시 강서구 화곡동 1019,37.54467828,126.8351042
OC3CL200177,서울특별시 강서구 개화동 246-16,37.58870084,126.802494
OC3CL200082,서울특별시 강서구 개화동 418-194,37.58013454,126.7999832
OC3CL200178,서울특별시 강서구 마곡동 731-199,37.56759287,126.8189344
OC3CL200179,서울특별시 강서구 마곡동 749-4,37.55712905,126.8225904
OC3CL200180,서울특별시 강서구 마곡동 770-7,37.56421468,126.833869
OC3CL200181,서울특별시 강서구 가양2동 1481,37.56474481,126.8534306
OC3CL200182,서울특별시 강서구 염창동 240-52,37.55734709,126.8659034
OC3CL200183,서울특별시 강서구 염창동 53-1,37.55351048,126.8711211
OC3CL200067,서울특별시 강서구 등촌동 366-70,37.54803257,126.8606334
OC3CL200184,서울특별시 강서구 등촌동 522-1,37.54736269,126.8613494
OC3CL200087,서울특별시 강서구 마곡동 728-356,37.55546881,126.8266133
OC3CL200185,서울특별시 강서구 염창동 263(105동),37.54866094,126.8740316
OC3CL200045,서울특별시 강서구 방화동 830-9,37.57782669,126.8133372
OC3CL200025,서울특별시 강서구 마곡동 727-709,37.56003441,126.8258759
OC3CL200026,서울특별시 강서구 마곡동 367-11,37.56668094,126.8261217
OC3CL200027,서울특별시 강서구 마곡동 727-1214,37.55904218,126.8360833
OC3CL200046,서울특별시 강서구 등촌3동 78-7,37.56053576,126.8547068
OC3CL200186,서울특별시 강서구 마곡동 9,37.57245123,126.8371703
OC3CL200172,서울특별시 강서구 화곡동 340-54,37.53273493,126.8463106
OC3CL200187,서울특별시 강서구 방화동 278-31,37.57318498,126.8164742
OC3CL200188,서울특별시 강서구 방화동 247-21,37.56735274,126.816375
V02Q1940425,서울특별시 관악구 신림동 1468-1,37.486421,126.9330533
V02Q1940561,서울특별시 관악구 신림동 505,37.48519319,126.918737
V02Q1940440,서울특별시 관악구 신림동 1602-3,37.48169168,126.927561
V02Q1940538,서울특별시 관악구 봉천동 975-24,37.48627768,126.936066
V02Q1940674,서울특별시 관악구 봉천동 1636-2,37.47480843,126.9652601
V02Q1940533,서울특별시 관악구 신림동 562,37.48305759,126.9079688
