year,region,elec_tot,elec_res,elec_serv,elec_ind,gdp,pop
1996,경남,26346.814,2616.978,3060.191,20669.645,72412697,2943238
1996,경북,17819.374,1633.951,2001.851,14183.572,38775525,2724100
1996,광주,3103.708,823.642,1124.120,1155.946,17978636,1292483
1996,대구,8326.698,1706.325,2102.383,4517.990,30238666,2488905
1996,대전,3792.028,892.933,1484.785,1414.310,19742504,1315028
1996,부산,10885.411,2621.175,3298.600,4965.636,46044004,3826168
1996,서울,25686.049,7687.215,14836.155,3162.679,195791851,10195359
1996,세종,,,,,,
1996,울산,,,,,,998430
1996,인천,11188.533,1633.581,1877.609,7677.343,40762864,2375816
1996,전남,8864.129,1229.304,1358.916,6275.909,42154621,2077343
1996,전북,7994.503,1183.476,1437.852,5373.175,27201090,1923449
1996,제주,1194.307,317.958,578.792,297.557,7641803,513926
1996,충남,9226.106,1010.850,1382.105,6833.151,32476312,1804044
1996,충북,8585.639,866.079,1104.163,6615.397,24310971,1431461
1997,강원,8069.295,981.760,1833.253,5254.282,26025382,1489229
1997,경기,35250.295,6026.095,9431.093,19793.107,124658091,8449371
1997,경남,28769.140,2772.486,3542.628,22454.026,79696351,2975321
1997,경북,20361.454,1692.231,2605.349,16063.874,44492072,2745318
1997,광주,3447.577,897.081,1318.714,1231.782,18559392,1317015
1997,대구,8629.455,1781.827,2400.488,4447.140,31886745,2495979
1997,대전,4169.270,941.649,1700.420,1527.201,20894508,1338886
1997,부산,11450.156,2735.803,3727.580,4986.773,47291520,3803326
1997,서울,27314.635,8069.223,16251.268,2994.144,204816198,10115549
1997,세종,,,,,,
1997,울산,,,,,,1015754
1997,인천,12118.886,1765.638,2201.407,8151.841,43341199,2421017
1997,전남,11493.500,1283.896,1598.151,8611.453,46754746,2065371
1997,전북,8734.206,1251.252,1657.801,5825.153,28700006,1922565
1997,제주,1319.902,324.309,646.098,349.495,8057569,516212
1997,충남,10292.421,1066.069,1685.891,7540.461,36555909,1831009
1997,충북,9363.426,926.033,1284.952,7152.441,24840759,1451658
1998,강원,7427.165,1009.544,1907.552,4510.069,24050209,1501714
1998,경기,33612.776,6205.397,9592.113,17815.266,116843281,8681978
1998,경남,14129.569,2071.641,2795.297,9262.631,47958037,3000399
1998,경북,20701.376,1722.835,2581.301,16397.240,41615486,2759045
1998,광주,3371.967,916.146,1332.606,1123.215,16743576,1340506
1998,대구,8279.241,1779.930,2349.245,4150.066,28738612,2502146
1998,대전,4139.120,946.671,1698.951,1493.498,19922027,1358370
1998,부산,10948.496,2749.077,3751.945,4447.474,44426186,3775121
1998,서울,26161.720,8040.599,15587.958,2533.163,195891236,10051237
1998,세종,,,,,,
1998,울산,13639.495,687.582,773.165,12178.748,43126637,1023077
1998,인천,11569.386,1791.424,2254.093,7523.869,37317452,2464340
1998,전남,11746.235,1301.349,1684.768,8760.118,44321517,2060842
1998,전북,8516.305,1264.281,1711.292,5540.732,26187025,1924972
1998,제주,1371.404,326.591,658.305,386.508,7456360,519160
1998,충남,9311.633,1153.342,1716.836,6441.455,34724126,1854333
1998,충북,8544.450,946.191,1334.237,6264.022,22690502,1469263
1999,강원,8213.597,1065.042,2291.403,4857.152,25204250,1512746
1999,경기,38031.741,6672.441,11196.043,20163.257,140742745,8892806
1999,경남,30976.107,2817.319,4175.694,23983.094,53563712,3020469
1999,경북,22537.412,1813.117,2747.710,17976.585,47828898,2770743
1999,광주,3766.360,958.044,1523.066,1285.250,18092047,1361160
1999,대구,9215.520,1847.543,2627.732,4740.245,31512976,2511610
1999,대전,4713.997,1014.506,1924.654,1774.837,21139402,1377545
1999,부산,11296.856,2732.471,4223.278,4341.107,49763153,3752322
1999,서울,28447.238,8518.159,17178.443,2750.636,213043805,10035810
1999,세종,,,,,,
1999,울산,,,,,47763922,1026735
1999,인천,12921.985,1887.709,2650.042,8384.234,40446510,2494341
1999,전남,13160.128,1344.825,1938.432,9876.871,45036095,2055210
1999,전북,9428.292,1329.686,1997.294,6101.312,28618114,1929570
1999,제주,1471.810,329.221,710.536,432.053,7957145,522398
1999,충남,10520.729,1246.114,2005.955,7268.660,40169928,1869746
1999,충북,9513.085,1004.483,1584.921,6923.681,26115197,1483466
2000,강원,9145.541,1134.869,2938.349,5072.323,26145825,1515605
2000,경기,43885.163,7369.773,13682.648,22832.742,157417148,9146445
2000,경남,17038.616,2224.408,3949.791,10864.417,57821766,3035571
2000,경북,24805.744,1946.818,3330.348,19528.578,54673687,2773340
