date,code,site,area,totalpop,dometpop,lftpop,sftpop,dmax,dmin,dfpop,nfpop,dfmax,outside,inside,internal,dailydust,pmbaddummy,pmday,pmwarn,temp,tempspr,rainfall,humidity,daydummy,dailydust_1,dailydust_2,dailydust_3
2020-01-21,11680,강남구,동남권,957507.030 ,915973.677 ,24933.591 ,16599.763 ,1239181.111 ,708309.987 ,1182226.502 ,796993.122 ,812001.541 ,265087.396 ,139305.166 ,407608.979 ,24 ,0 ,0 ,0 ,0 ,0 ,0 ,37 ,0 ,26 ,43 ,39 
2020-01-22,11680,강남구,동남권,948380.284 ,908991.641 ,24670.802 ,14717.842 ,1217796.397 ,708739.049 ,1165996.655 ,792940.019 ,796799.327 ,257065.125 ,138926.729 ,400807.473 ,29 ,0 ,0 ,0 ,3 ,9 ,0 ,36 ,0 ,24 ,26 ,43 
2020-01-23,11680,강남구,동남권,872649.581 ,836412.898 ,22613.574 ,13623.109 ,1118909.417 ,673900.499 ,1051356.394 ,745001.857 ,700468.297 ,218159.912 ,130309.605 ,351998.780 ,39 ,1 ,2 ,0 ,5 ,21 ,0 ,49 ,0 ,29 ,24 ,26 
2020-01-24,11680,강남구,동남권,620943.192 ,593765.262 ,15144.958 ,12032.973 ,659874.442 ,548875.769 ,628291.648 ,615694.295 ,268034.194 ,79048.505 ,87209.648 ,101776.041 ,47 ,1 ,1 ,0 ,3 ,8 ,0 ,63 ,0 ,39 ,29 ,24 
2020-01-25,11680,강남구,동남권,537910.829 ,513625.793 ,12947.943 ,11337.093 ,555775.902 ,515685.336 ,531373.391 ,542580.427 ,240575.786 ,76450.109 ,83256.399 ,80869.277 ,32 ,0 ,0 ,0 ,4 ,18 ,0 ,63 ,1 ,47 ,39 ,29 
2020-01-26,11680,강남구,동남권,599384.923 ,572395.698 ,15320.138 ,11669.087 ,639315.767 ,556525.987 ,618587.197 ,585669.012 ,281634.556 ,78418.299 ,97556.250 ,105660.007 ,16 ,0 ,0 ,0 ,6 ,30 ,0 ,56 ,1 ,32 ,47 ,39 
2020-01-27,11680,강남구,동남권,680671.417 ,650566.654 ,16512.415 ,13592.349 ,743903.289 ,620332.781 ,718660.182 ,653536.585 ,325460.069 ,84983.968 ,110875.449 ,129600.653 ,4 ,0 ,0 ,0 ,6 ,35 ,0 ,48 ,0 ,16 ,32 ,47 
2020-01-28,11680,강남구,동남권,906905.641 ,868887.740 ,22669.625 ,15348.276 ,1171668.382 ,668421.143 ,1120075.182 ,754641.682 ,743583.334 ,237555.594 ,133950.229 ,372077.512 ,5 ,0 ,0 ,0 ,7 ,46 ,0 ,49 ,0 ,4 ,16 ,32 
2020-01-29,11680,강남구,동남권,942424.648 ,903389.854 ,23821.894 ,15212.900 ,1218124.181 ,701680.792 ,1163098.933 ,784800.158 ,784754.147 ,253669.356 ,137263.567 ,393821.224 ,8 ,0 ,0 ,0 ,6 ,36 ,0 ,46 ,0 ,5 ,4 ,16 
2020-01-30,11680,강남구,동남권,950938.918 ,911383.741 ,24073.007 ,15482.169 ,1225825.956 ,707151.825 ,1170872.506 ,793843.498 ,791472.010 ,256545.755 ,138421.273 ,396504.982 ,9 ,0 ,0 ,0 ,5 ,27 ,0 ,47 ,0 ,8 ,5 ,4 
