Country,GDP,TEMP,PRECIP,MORTALITY,
Latvia,17885,5.6,667,14.69,
Switzerland,85135,5.5,1537,8.37,
Estonia,23740,5.1,626,13.13,
Denmark,60657,2.7,703,9.55,
Sweden,52896,2.1,624,9.5,
Tajikistan,894,2,691,5.67,
Iceland,71345,1.75,1940,6.57,
Finland,48678,1.7,536,10.37,
Kyrgyzstan,1318,1.55,533,6.07,
Norway,74986,1.5,1414,7.93,
